npi,primary_specialty,taxonomy_code,license_state,license_issuance_year
1276804022,Anesthesiology,207L00000X,CA,2001
1652580865,Emergency Medicine,207P00000X,CA,1999
1300868753,Pediatrics,208000000X,TX,2017
1868570221,Neurological Surgery,207T00000X,IL,2008
1263322962,Internal Medicine,207R00000X,FL,1995
1139656874,Anesthesiology,207L00000X,TX,2011
1229836394,Family Medicine,207Q00000X,CA,2002
1525832956,Psychiatry & Neurology,2084A0401X,FL,2000
1674039593,Internal Medicine,207R00000X,CA,1995
1652614490,Ophthalmology,207W00000X,CA,2011
1198266177,Pathology,207ZB0001X,FL,2007
1030988301,Emergency Medicine,207P00000X,MN,2007
1407714520,Pathology,207ZB0001X,NM,1994
1572396459,Pathology,207ZB0001X,OH,1999
1522062987,Internal Medicine,207R00000X,FL,2003
1219547811,Internal Medicine,207R00000X,FL,2010
1476904382,Internal Medicine,207R00000X,OH,2005
1422948509,Family Medicine,207Q00000X,TX,2006
1981424033,Medical Genetics,207SC0300X,LA,2017
1449957129,Colon & Rectal Surgery,208C00000X,FL,2012
1705581902,Neurological Surgery,207T00000X,VA,2008
1218256455,Family Medicine,207Q00000X,WA,2010
1723623702,Emergency Medicine,207P00000X,KS,1999
1022988319,Psychiatry & Neurology,2084A0401X,DC,2019
1960826919,Orthopaedic Surgery,207X00000X,MD,2009
1267262495,Internal Medicine,207R00000X,CA,2008
1207627542,Ophthalmology,207W00000X,CA,2005
1958511382,Internal Medicine,207R00000X,CA,2014
1221784618,Radiology,2085B0100X,OR,2015
1880739887,Otolaryngology,207Y00000X,OK,2018
1188284370,Orthopaedic Surgery,207X00000X,FL,2012
1389263959,Family Medicine,207Q00000X,CA,1999
1192147365,Urology,208800000X,CA,2017
1270957768,Emergency Medicine,207P00000X,IL,2008
1338733441,Pediatrics,208000000X,CA,2010
1969635022,Family Medicine,207Q00000X,TX,2005
1442497107,Pediatrics,208000000X,VA,2010
1876210240,Emergency Medicine,207P00000X,AZ,2003
1616426072,Ophthalmology,207W00000X,CA,2005
1195028489,Radiology,2085B0100X,CA,2005
1986758583,Obstetrics & Gynecology,207V00000X,SD,2009
1267562027,Surgery,208600000X,GA,2001
1126704547,Family Medicine,207Q00000X,NY,2008
1568730372,Family Medicine,207Q00000X,OH,2015
1756224030,Ophthalmology,207W00000X,NE,2005
1416035065,Obstetrics & Gynecology,207V00000X,IL,1998
1323737829,Internal Medicine,207R00000X,GA,1992
1936767916,Internal Medicine,207R00000X,CA,2008
1652671672,Internal Medicine,207R00000X,TX,1996
